function,label,x1,x1space,yc1,y1space,anchor,textweight,width,textsize,fillcolor,display
text,Overall,1.5,graphpercent,Overall,datavalue,left,bold,200,10,white,all
text,1.09 (0.99-1.19),-2,wallpercent,Overall,datavalue,right,,200,8,white,all
text,Sex,1.5,graphpercent,Sex,datavalue,left,bold,200,10,white,all
text,Male,3,graphpercent,Male,datavalue,left,,200,10,white,all
text,1.07 (0.94-1.23),-2,wallpercent,Male,datavalue,right,,200,8,white,all
text,Female,3,graphpercent,Female,datavalue,left,,200,10,white,all
text,1.13 (0.92-1.39),-2,wallpercent,Female,datavalue,right,,200,8,white,all
text,History of Diabetes,1.5,graphpercent,History of Diabetes,datavalue,left,bold,200,10,white,all
text,Yes,3,graphpercent,DM1,datavalue,left,,200,10,white,all
text,1.02 (0.82-1.25),-2,wallpercent,DM1,datavalue,right,,200,8,white,all
text,No,3,graphpercent,DM0,datavalue,left,,200,10,white,all
text,1.13 (1.10-1.16),-2,wallpercent,DM0,datavalue,right,,200,8,white,all
text,History of Heart Failure,1.5,graphpercent,History of Heart Failure,datavalue,left,bold,200,10,white,all
text,Yes ,3,graphpercent,CHF1,datavalue,left,,200,10,white,all
text,0.92 (0.73-1.14),-2,wallpercent,CHF1,datavalue,right,,200,8,white,all
text,No ,3,graphpercent,CHF0,datavalue,left,,200,10,white,all
text,1.15 (0.99-1.35),-2,wallpercent,CHF0,datavalue,right,,200,8,white,all
